Fruit_ID,Fruit_Type,Size_cm,Weight_g,Color_Intensity,Ripeness_Level,Firmness,Sweetness,Defect_Count,Bruise_Score,Spot_Score,Defect_Score,Size_to_Weight_Ratio,Grade
FR00789,Peach,6.16,122.04,0.53,0.69,0.91,0.76,0,0.26,0.72,0.22,5.05,Local
FR00790,Banana,15.39,104.05,0.4,0.39,0.66,0.63,2,0.08,0.45,0.21,14.8,Reject
FR00791,Watermelon,16.45,5408.44,0.86,0.16,0.65,0.43,1,0.01,0.73,0.2,0.3,Reject
FR00792,Pomegranate,11.22,286.21,0.85,0.4,0.35,0.79,2,0.18,0.01,0.16,3.92,Reject
FR00793,Mango,9.13,225.9,0.45,0.56,0.77,0.11,1,0.12,0.59,0.2,4.04,Local
FR00794,Mango,10.39,211.84,0.84,0.04,0.03,0.58,1,0.04,0.53,0.17,4.91,Reject
FR00795,Strawberry,3.86,22.43,0.71,0.65,0.56,0.05,1,0.09,0.51,0.18,17.21,Local
FR00796,Peach,6.03,155.23,0.38,0.74,0.03,0.16,1,0.05,0.6,0.19,3.88,Local
FR00797,Grapes,2.37,6.43,0.65,0.86,0.31,0.6,2,0.55,0.8,0.42,36.82,Local
FR00798,Watermelon,33.6,4323.51,0.95,0.1,0.1,0.31,1,0.06,0.05,0.08,0.78,Reject
FR00799,Peach,9.37,132.56,0.65,0.0,0.91,0.26,1,1.0,0.15,0.38,7.07,Reject
FR00800,Strawberry,3.25,20.98,0.85,0.07,0.63,0.96,1,0.5,0.01,0.2,15.5,Reject
FR00801,Apple,7.44,169.58,0.32,0.92,0.67,0.37,1,0.9,0.24,0.37,4.39,Local
FR00802,Peach,5.89,134.99,0.81,0.77,0.85,0.56,1,0.49,0.98,0.39,4.36,Local
FR00803,Pomegranate,10.39,277.6,0.96,0.84,0.73,0.53,0,0.14,0.37,0.12,3.74,Export
FR00804,Watermelon,25.42,5356.44,0.65,0.52,0.12,0.06,1,0.84,0.58,0.42,0.47,Local
FR00805,Strawberry,3.99,15.03,0.54,0.53,0.62,0.67,0,0.24,0.99,0.27,26.55,Local
FR00806,Apple,8.56,153.56,0.75,0.3,0.98,0.51,2,0.04,0.63,0.24,5.57,Reject
FR00807,Orange,7.65,173.85,0.94,0.84,0.21,0.38,1,0.19,0.17,0.14,4.4,Local
FR00808,Strawberry,3.0,16.96,0.42,0.83,0.62,0.07,2,0.6,0.81,0.44,17.68,Local
FR00809,Orange,5.76,137.64,0.58,0.39,0.56,0.29,1,0.43,0.55,0.29,4.18,Reject
FR00810,Watermelon,28.99,4909.56,0.41,0.33,0.39,0.88,0,0.16,1.0,0.25,0.59,Reject
FR00811,Mango,9.23,231.79,0.65,0.74,0.95,0.17,1,0.53,0.76,0.36,3.98,Local
FR00812,Strawberry,2.88,16.62,0.68,0.03,0.36,0.22,2,0.95,0.99,0.58,17.29,Reject
FR00813,Banana,18.84,98.87,0.96,0.86,0.09,0.21,0,0.73,0.89,0.4,19.06,Local
FR00814,Orange,8.5,148.4,0.59,0.45,0.96,0.89,1,0.07,0.18,0.11,5.73,Local
FR00815,Pomegranate,9.09,268.31,0.7,0.44,0.73,0.7,5,0.32,0.75,0.5,3.39,Local
FR00816,Banana,19.67,134.1,0.92,0.67,0.34,0.88,2,0.69,0.5,0.41,14.67,Local
FR00817,Pear,9.36,195.25,0.52,0.65,0.28,0.91,2,0.14,0.13,0.17,4.79,Local
FR00818,Pear,8.77,194.64,0.77,0.27,0.93,0.93,2,0.54,0.57,0.38,4.51,Reject
FR00819,Apple,7.68,160.05,0.83,0.94,0.27,0.49,3,0.55,0.09,0.33,4.8,Local
FR00820,Mango,10.64,232.85,0.53,0.99,0.54,0.48,1,0.09,0.76,0.23,4.57,Local
FR00821,Watermelon,22.93,5350.77,0.42,0.53,0.21,0.83,1,0.61,0.36,0.3,0.43,Local
FR00822,Strawberry,4.05,23.51,0.65,0.56,1.0,0.33,1,0.9,0.81,0.48,17.23,Local
FR00823,Grapes,1.7,5.97,0.55,0.55,0.77,0.02,0,0.65,0.68,0.33,28.46,Local
FR00824,Pomegranate,8.66,305.23,0.49,0.49,0.57,0.33,2,0.92,0.88,0.55,2.84,Reject
FR00825,Orange,6.68,153.19,0.98,0.95,0.75,0.72,0,0.61,0.19,0.22,4.36,Export
FR00826,Watermelon,25.94,3886.55,0.65,0.24,0.92,0.12,0,0.75,0.65,0.35,0.67,Reject
FR00827,Banana,19.31,144.23,0.9,0.11,0.96,0.78,5,0.89,0.86,0.69,13.39,Reject
FR00828,Pear,8.81,216.72,0.44,0.93,0.79,0.82,2,0.46,0.23,0.28,4.07,Local
FR00829,Pomegranate,8.8,315.68,0.96,0.21,0.85,0.1,0,0.16,0.78,0.2,2.79,Reject
FR00830,Grapes,1.5,6.81,0.86,0.75,0.4,0.1,0,0.12,0.28,0.09,22.01,Local
FR00831,Strawberry,4.13,19.15,0.87,0.2,0.39,0.2,1,0.95,0.82,0.5,21.56,Reject
FR00832,Apple,6.11,166.91,0.57,0.96,0.81,0.36,4,0.55,0.52,0.47,3.66,Local
FR00833,Grapes,1.65,5.33,0.64,0.79,0.76,0.53,1,0.68,0.67,0.39,31.0,Local
FR00834,Pomegranate,9.44,240.46,0.72,0.92,0.9,0.49,1,0.61,0.37,0.31,3.93,Local
FR00835,Grapes,2.27,5.6,0.85,0.95,0.13,0.85,1,0.56,0.83,0.38,40.49,Local
FR00836,Pomegranate,10.05,280.37,0.89,0.08,0.69,0.14,2,0.56,0.12,0.29,3.59,Reject
FR00837,Pomegranate,7.47,321.07,0.35,0.43,0.65,0.7,0,0.47,0.19,0.18,2.33,Local
FR00838,Peach,6.77,110.81,0.93,0.65,0.8,0.55,0,0.88,0.09,0.28,6.11,Local
FR00839,Orange,8.72,197.24,0.96,0.8,0.02,0.74,1,0.12,0.95,0.28,4.42,Local
FR00840,Pear,8.96,238.3,0.72,0.24,0.83,0.34,4,0.72,0.47,0.51,3.76,Reject
FR00841,Peach,7.08,132.01,0.43,0.91,0.33,0.47,3,0.68,0.48,0.45,5.36,Local
FR00842,Strawberry,3.24,24.91,0.87,0.22,0.69,0.03,2,0.06,0.3,0.18,12.99,Reject
FR00843,Peach,6.34,155.44,0.68,0.87,0.62,0.12,1,0.22,0.47,0.21,4.08,Local
FR00844,Mango,10.26,232.74,0.87,0.51,0.44,0.37,0,0.79,0.24,0.28,4.41,Local
FR00845,Mango,12.36,235.75,0.87,0.52,0.75,0.48,0,0.23,0.95,0.26,5.24,Local
FR00846,Pear,8.56,210.59,0.36,0.37,0.96,0.09,4,0.58,0.26,0.43,4.07,Reject
FR00847,Grapes,2.38,5.48,0.72,0.1,0.32,0.82,2,0.08,0.93,0.31,43.46,Reject
FR00848,Orange,6.91,138.51,0.64,0.35,0.75,0.95,3,0.22,0.49,0.31,4.99,Reject
FR00849,Pear,9.09,188.67,0.96,0.43,0.31,0.6,2,0.89,0.44,0.45,4.82,Local
FR00850,Pomegranate,7.93,310.37,0.51,0.48,0.85,0.05,2,0.36,0.8,0.37,2.56,Local
FR00851,Banana,18.18,89.12,0.44,0.74,0.44,0.74,1,0.81,0.49,0.39,20.41,Local
FR00852,Orange,6.66,138.66,0.93,0.35,0.45,0.22,2,0.48,0.27,0.3,4.81,Reject
FR00853,Orange,7.43,192.51,0.4,0.41,0.77,0.73,0,0.32,0.44,0.18,3.86,Local
FR00854,Pomegranate,9.26,244.69,0.78,0.91,0.5,0.43,0,0.57,0.44,0.26,3.78,Local
FR00855,Pomegranate,9.24,265.21,0.51,0.75,0.27,0.05,1,0.53,0.3,0.27,3.48,Local
FR00856,Apple,8.31,173.93,0.7,0.02,1.0,0.28,3,0.98,0.42,0.53,4.78,Reject
FR00857,Pear,10.31,179.34,0.73,0.81,0.62,0.43,1,0.34,0.12,0.18,5.75,Local
FR00858,Pomegranate,10.77,318.14,0.59,0.99,0.65,0.74,1,0.65,0.94,0.43,3.39,Local
FR00859,Mango,10.07,332.87,0.98,0.94,0.65,0.13,2,0.69,0.64,0.43,3.02,Local
FR00860,Strawberry,3.64,17.49,0.39,0.84,0.88,0.29,4,0.63,0.19,0.43,20.79,Local
FR00861,Banana,21.57,157.4,0.57,0.63,0.18,0.08,1,0.48,0.79,0.35,13.7,Local
FR00862,Pear,8.96,166.4,0.6,0.28,0.06,0.62,0,0.78,0.27,0.29,5.39,Reject
FR00863,Watermelon,24.48,5536.05,0.74,0.65,0.39,0.47,1,0.77,0.6,0.4,0.44,Local
FR00864,Mango,12.69,271.39,0.59,0.7,0.56,0.93,2,0.96,0.91,0.57,4.67,Reject
FR00865,Grapes,2.02,6.12,0.37,0.28,0.29,0.74,4,0.98,0.77,0.65,33.06,Reject
FR00866,Pomegranate,8.66,323.3,0.96,0.26,0.69,0.78,1,0.22,0.12,0.14,2.68,Reject
FR00867,Watermelon,24.14,5323.27,0.59,0.4,0.07,0.16,0,0.65,0.55,0.31,0.45,Reject
FR00868,Pomegranate,8.88,277.65,0.54,0.64,0.79,0.27,1,0.86,0.71,0.45,3.2,Local
FR00869,Orange,7.16,180.26,0.61,0.29,0.72,0.51,4,0.96,0.2,0.53,3.97,Reject
FR00870,Mango,10.03,222.24,0.45,0.56,0.21,0.01,0,0.14,0.1,0.06,4.51,Local
FR00871,Orange,9.41,172.0,0.37,0.9,0.3,0.87,0,0.95,0.15,0.31,5.47,Local
FR00872,Apple,5.71,146.43,0.4,0.3,0.81,0.78,1,0.23,0.96,0.31,3.9,Reject
FR00873,Orange,5.87,128.61,0.42,0.97,0.77,0.06,1,0.57,0.85,0.39,4.56,Local
FR00874,Apple,4.99,156.71,0.44,0.47,0.81,0.85,3,0.65,0.86,0.52,3.18,Local
FR00875,Apple,6.9,161.44,0.59,0.1,0.32,0.0,2,0.88,0.25,0.41,4.28,Reject
FR00876,Watermelon,20.12,5062.18,0.74,0.06,0.97,0.11,1,0.8,0.56,0.4,0.4,Reject
FR00877,Pomegranate,8.55,343.08,0.74,0.34,0.72,0.06,2,0.93,0.49,0.48,2.49,Reject
FR00878,Grapes,2.34,5.59,0.3,0.26,0.07,0.48,0,0.79,0.83,0.4,41.85,Reject
FR00879,Orange,7.21,194.67,0.94,0.84,0.48,0.78,2,0.34,0.42,0.29,3.7,Local
FR00880,Mango,8.95,197.37,0.88,0.74,0.66,0.18,2,0.18,0.54,0.26,4.53,Local
FR00881,Apple,7.92,214.1,0.97,0.88,0.17,0.77,4,0.16,0.58,0.36,3.7,Local
FR00882,Pomegranate,8.78,272.3,0.55,0.59,0.9,0.18,0,0.09,0.37,0.1,3.22,Local
FR00883,Banana,14.89,137.03,0.77,0.44,0.75,0.99,1,0.93,0.03,0.34,10.86,Local
FR00884,Pear,10.03,201.31,0.42,0.27,0.08,0.85,1,0.49,0.5,0.29,4.98,Reject
FR00885,Watermelon,23.11,4469.97,0.87,0.58,0.91,0.74,2,0.97,0.49,0.49,0.52,Local
FR00886,Grapes,1.69,5.06,0.41,0.62,0.4,0.59,4,0.77,0.04,0.44,33.37,Local
FR00887,Peach,6.09,115.27,0.53,0.39,0.45,0.24,2,0.95,0.49,0.48,5.29,Reject
FR00888,Watermelon,23.73,4633.13,0.64,0.94,0.78,0.12,1,0.87,0.51,0.41,0.51,Local
FR00889,Banana,16.84,128.4,0.72,0.64,0.64,0.46,1,0.58,0.13,0.25,13.11,Local
FR00890,Pear,9.09,172.22,0.69,0.84,0.44,0.4,1,0.23,0.14,0.15,5.28,Local
FR00891,Banana,18.4,102.15,0.37,0.62,0.26,0.67,2,0.25,0.94,0.36,18.01,Local
FR00892,Orange,7.59,153.39,0.6,0.32,0.52,0.17,1,0.37,0.19,0.2,4.95,Reject
FR00893,Apple,6.56,183.9,0.95,0.74,0.58,0.56,2,0.02,0.31,0.17,3.57,Export
FR00894,Grapes,1.79,5.07,0.91,0.23,0.63,0.69,1,0.67,0.3,0.31,35.29,Reject
FR00895,Strawberry,3.99,22.78,0.71,0.6,0.61,0.3,1,0.56,0.66,0.35,17.51,Local
FR00896,Apple,8.03,151.3,0.7,0.4,0.62,0.78,2,0.1,0.64,0.26,5.31,Local
FR00897,Strawberry,3.9,22.02,0.38,0.15,0.48,0.43,3,0.82,0.91,0.58,17.7,Reject
FR00898,Pear,8.33,158.54,0.44,0.41,0.56,0.16,3,0.82,0.4,0.48,5.26,Local
FR00899,Pomegranate,6.76,286.47,0.48,0.31,0.29,0.19,0,0.12,0.78,0.19,2.36,Reject
FR00900,Peach,6.93,163.86,0.64,0.11,0.16,0.28,3,0.2,0.38,0.29,4.23,Reject
FR00901,Mango,11.47,300.03,0.81,0.82,0.61,0.16,1,0.25,0.24,0.17,3.82,Local
FR00902,Apple,7.33,187.32,0.62,0.5,0.05,0.56,0,0.53,0.89,0.34,3.91,Local
FR00903,Grapes,1.87,5.58,0.39,0.35,0.07,0.95,0,0.94,0.48,0.38,33.55,Reject
FR00904,Banana,14.85,124.23,0.61,0.5,0.25,0.9,1,0.67,0.39,0.33,11.95,Local
FR00905,Grapes,1.52,4.8,0.41,0.75,0.19,0.32,0,0.68,0.91,0.39,31.75,Local
FR00906,Pear,9.48,165.93,0.83,0.02,0.37,0.86,3,0.29,0.94,0.43,5.71,Reject
FR00907,Strawberry,3.06,22.54,0.42,0.55,0.37,0.95,0,0.62,0.45,0.28,13.57,Local
FR00908,Banana,17.78,111.19,0.64,0.48,0.12,0.29,1,0.21,0.02,0.12,15.99,Local
FR00909,Mango,11.06,348.88,0.79,0.89,0.25,0.91,0,0.71,0.03,0.22,3.17,Export
FR00910,Mango,12.52,293.6,0.46,0.56,0.0,1.0,3,0.23,0.61,0.34,4.27,Local
FR00911,Apple,8.42,164.0,0.35,0.14,0.35,0.8,1,0.01,0.85,0.22,5.13,Reject
FR00912,Pear,6.41,161.67,0.69,0.39,0.8,0.39,0,0.52,0.88,0.33,3.97,Reject
FR00913,Pomegranate,8.48,201.25,0.34,0.62,0.27,0.61,1,0.3,0.9,0.32,4.21,Local
FR00914,Pear,7.75,126.52,0.71,0.05,0.64,0.36,3,0.63,0.81,0.5,6.13,Reject
FR00915,Strawberry,3.48,22.46,0.83,0.88,0.1,1.0,1,0.75,0.87,0.45,15.51,Local
FR00916,Grapes,2.27,5.31,0.53,0.07,0.01,0.07,0,0.81,0.84,0.41,42.66,Reject
FR00917,Mango,9.73,177.55,0.64,0.03,0.5,0.89,1,0.98,0.84,0.51,5.48,Reject
FR00918,Grapes,1.58,4.05,0.95,0.0,0.46,0.07,4,0.56,0.33,0.43,38.99,Reject
FR00919,Grapes,1.79,4.88,0.63,0.68,0.19,0.04,0,0.48,0.39,0.22,36.61,Local
FR00920,Grapes,1.76,5.25,1.0,0.46,0.29,0.94,1,0.25,0.32,0.19,33.43,Local
FR00921,Mango,10.69,250.4,0.41,0.1,0.03,0.87,0,0.75,0.15,0.25,4.27,Reject
FR00922,Watermelon,28.42,4114.83,0.8,0.86,0.8,0.36,0,0.48,0.33,0.21,0.69,Local
FR00923,Orange,7.88,149.69,0.76,0.2,0.3,0.96,0,0.33,0.91,0.28,5.26,Reject
FR00924,Strawberry,3.36,22.66,0.91,0.33,0.22,0.86,1,0.43,0.97,0.37,14.83,Reject
FR00925,Watermelon,27.64,4290.13,0.36,0.18,0.8,0.9,1,0.37,0.15,0.19,0.64,Reject
FR00926,Strawberry,3.42,20.84,0.5,0.93,0.04,0.6,1,0.98,0.66,0.48,16.42,Local
FR00927,Banana,17.41,130.53,0.39,0.76,0.28,0.96,1,0.23,0.97,0.31,13.34,Local
FR00928,Pear,9.3,229.48,0.95,0.72,0.26,0.81,0,0.41,0.21,0.17,4.05,Export
FR00929,Pear,7.35,176.69,0.6,0.04,0.26,0.94,0,0.31,0.84,0.26,4.16,Reject
FR00930,Peach,6.24,152.69,0.94,0.52,0.01,0.28,1,0.17,0.3,0.16,4.08,Local
FR00931,Pear,7.25,189.35,0.51,0.58,0.93,0.53,2,0.3,0.41,0.27,3.83,Local
FR00932,Mango,10.17,222.47,0.39,0.38,0.86,0.87,0,0.49,0.92,0.33,4.57,Reject
FR00933,Pomegranate,7.44,260.47,0.51,0.32,0.41,0.58,1,0.63,0.06,0.25,2.86,Reject
FR00934,Apple,9.04,159.4,0.72,0.85,0.45,0.8,0,0.62,0.45,0.27,5.67,Local
FR00935,Peach,7.53,174.96,0.89,0.02,0.52,0.97,2,0.77,0.51,0.43,4.3,Reject
FR00936,Apple,8.25,146.59,0.57,0.63,0.48,0.8,3,0.07,0.9,0.35,5.63,Local
FR00937,Strawberry,3.7,18.37,0.94,0.39,0.78,0.32,4,0.31,0.57,0.41,20.12,Reject
FR00938,Apple,7.52,123.52,0.47,0.67,0.49,0.12,2,0.35,0.95,0.39,6.08,Local
FR00939,Apple,8.89,150.74,0.79,0.2,0.19,0.27,1,0.69,0.32,0.32,5.9,Reject
FR00940,Peach,7.15,118.24,0.81,0.24,0.12,0.66,3,0.21,0.49,0.31,6.05,Reject
FR00941,Banana,18.94,106.29,0.49,0.59,0.92,0.01,2,0.21,0.02,0.17,17.82,Local
FR00942,Grapes,1.97,5.66,0.32,0.98,0.05,0.19,0,0.1,0.99,0.23,34.74,Local
FR00943,Pear,9.85,179.41,0.56,0.97,0.9,0.33,1,0.53,0.23,0.26,5.49,Local
FR00944,Pear,7.09,260.81,0.33,0.25,0.69,0.88,2,0.73,0.93,0.5,2.72,Reject
FR00945,Mango,13.3,277.1,0.93,0.1,0.4,0.05,1,0.7,0.4,0.34,4.8,Reject
FR00946,Peach,6.37,137.61,0.97,0.59,0.19,0.05,1,0.74,0.17,0.31,4.63,Local
FR00947,Mango,10.28,297.39,0.81,0.42,0.31,0.55,1,0.17,0.42,0.18,3.46,Local
FR00948,Pomegranate,9.28,247.07,0.81,0.76,0.53,0.18,1,0.59,0.32,0.29,3.76,Local
FR00949,Pomegranate,8.49,327.09,0.47,0.53,0.66,0.24,2,0.09,0.95,0.32,2.6,Local
FR00950,Mango,13.11,307.31,0.35,0.51,0.69,0.18,0,0.97,0.77,0.44,4.27,Local
FR00951,Peach,7.64,134.69,0.86,0.65,0.45,0.58,2,0.11,0.21,0.17,5.67,Local
FR00952,Mango,6.72,261.14,0.69,0.13,0.37,0.06,3,0.88,0.54,0.52,2.57,Reject
FR00953,Pear,9.0,183.78,0.78,0.68,0.77,0.94,1,0.04,0.67,0.2,4.9,Export
FR00954,Watermelon,25.16,4005.3,0.85,0.49,0.93,0.12,0,0.53,0.58,0.28,0.63,Local
FR00955,Orange,8.0,164.22,0.59,0.82,0.91,0.95,1,0.85,0.92,0.49,4.87,Local
FR00956,Apple,8.66,182.72,0.4,0.14,0.55,0.78,1,0.63,0.11,0.26,4.74,Reject
FR00957,Orange,8.04,140.77,0.86,0.3,0.08,0.83,1,0.49,0.04,0.21,5.71,Reject
FR00958,Peach,6.94,141.91,0.62,0.95,0.07,0.17,1,0.13,0.61,0.21,4.89,Local
FR00959,Orange,7.6,172.46,0.88,0.55,0.4,0.67,3,0.66,0.75,0.5,4.41,Local
FR00960,Pomegranate,9.7,367.25,0.61,0.93,0.73,0.82,0,0.6,0.81,0.34,2.64,Local
FR00961,Strawberry,4.43,20.24,0.45,0.69,0.5,0.56,0,0.46,0.21,0.18,21.87,Local
FR00962,Apple,4.32,189.68,0.42,0.93,0.63,0.55,0,0.23,0.19,0.11,2.28,Local
FR00963,Grapes,1.87,4.4,0.82,0.32,0.84,0.16,1,0.22,0.84,0.28,42.52,Reject
FR00964,Peach,6.67,130.62,0.7,0.09,0.04,0.41,1,0.97,0.34,0.41,5.1,Reject
FR00965,Apple,8.59,122.57,0.58,0.8,0.92,0.15,2,0.97,0.66,0.52,7.01,Local
FR00966,Orange,6.53,157.72,0.64,0.8,0.33,0.97,4,0.94,0.15,0.51,4.14,Local
FR00967,Pomegranate,9.67,306.94,0.68,0.62,0.05,0.68,1,0.52,0.8,0.36,3.15,Local
FR00968,Banana,16.3,102.39,0.47,0.58,0.84,0.05,1,0.99,0.96,0.54,15.92,Local
FR00969,Watermelon,23.48,5179.9,0.56,0.91,0.93,0.48,2,0.3,0.97,0.38,0.45,Local
FR00970,Grapes,2.36,3.46,0.5,0.18,0.77,0.64,0,0.43,0.52,0.23,68.02,Reject
FR00971,Watermelon,24.34,4000.49,0.57,0.62,0.8,0.1,0,0.17,0.24,0.1,0.61,Local
FR00972,Apple,6.41,183.21,0.65,0.05,0.87,0.66,1,0.46,0.14,0.22,3.5,Reject
FR00973,Pomegranate,9.59,298.88,0.42,0.14,0.52,0.18,1,0.19,0.25,0.15,3.21,Reject
FR00974,Pomegranate,9.99,259.85,0.58,0.44,0.68,0.41,1,0.07,0.62,0.19,3.85,Local
FR00975,Orange,7.11,199.18,0.57,0.82,0.29,0.63,3,0.01,0.44,0.24,3.57,Local
FR00976,Pear,8.73,199.85,0.5,0.73,0.25,0.37,2,0.38,0.48,0.31,4.37,Local
FR00977,Orange,7.51,108.41,1.0,0.97,0.61,0.38,0,0.9,0.47,0.36,6.92,Local
FR00978,Pear,6.79,164.37,0.35,0.04,0.73,0.84,1,0.44,0.79,0.34,4.13,Reject
FR00979,Pear,10.14,201.28,0.75,0.38,0.4,0.31,2,0.65,0.83,0.46,5.04,Reject
FR00980,Grapes,2.22,4.26,0.42,0.16,0.4,0.66,1,0.82,0.01,0.3,52.1,Reject
FR00981,Orange,8.95,128.29,0.89,0.04,0.95,0.85,1,0.55,0.92,0.4,6.98,Reject
FR00982,Banana,18.46,119.81,0.94,0.26,0.52,0.15,0,0.56,0.39,0.25,15.41,Reject
FR00983,Mango,10.77,300.2,0.58,0.24,0.99,0.05,2,0.52,0.24,0.31,3.59,Reject
FR00984,Mango,10.07,199.39,0.88,0.42,0.86,0.83,1,0.13,1.0,0.29,5.05,Local
FR00985,Orange,7.52,141.0,0.47,0.14,0.64,0.55,2,0.64,0.12,0.32,5.33,Reject
FR00986,Orange,10.54,165.22,0.4,0.49,0.01,0.83,0,0.72,0.32,0.28,6.38,Local
FR00987,Watermelon,23.77,4207.92,0.52,0.92,0.3,0.21,0,0.0,0.91,0.18,0.56,Local
FR00988,Grapes,1.55,4.23,0.54,0.75,0.42,0.83,2,0.08,0.48,0.22,36.6,Local
FR00989,Orange,7.6,182.11,0.58,0.84,0.65,0.1,1,0.54,0.93,0.4,4.18,Local
FR00990,Watermelon,28.37,5171.82,0.56,0.8,0.4,0.88,1,0.84,0.24,0.35,0.55,Local
FR00991,Pear,8.65,187.26,0.59,0.39,0.83,0.82,1,0.53,0.41,0.29,4.62,Reject
FR00992,Pomegranate,8.44,352.17,0.8,0.71,0.66,0.57,4,0.43,0.05,0.34,2.4,Local
FR00993,Pomegranate,8.8,276.37,0.47,0.75,0.35,0.61,1,0.94,0.45,0.42,3.18,Local
FR00994,Pear,6.61,174.72,0.31,0.21,0.78,0.35,1,0.08,0.0,0.07,3.78,Reject
FR00995,Peach,7.7,117.58,0.64,0.86,0.3,0.2,0,0.14,0.32,0.1,6.55,Local
FR00996,Watermelon,22.75,5594.53,0.61,0.46,0.06,0.46,1,0.69,0.72,0.4,0.41,Local
FR00997,Watermelon,20.57,5793.35,0.34,0.02,0.17,0.66,0,0.11,0.72,0.18,0.36,Reject
FR00998,Pear,8.43,169.51,0.39,0.64,0.0,1.0,2,0.14,0.43,0.23,4.97,Local
FR00999,Banana,15.57,126.8,0.66,0.68,0.83,0.82,2,0.87,0.01,0.36,12.28,Local
FR01000,Strawberry,4.53,22.34,0.46,0.55,0.63,0.43,2,0.21,0.13,0.19,20.29,Local
FR01001,Apple,7.17,187.25,0.91,0.21,0.57,0.74,0,0.62,0.24,0.24,3.83,Reject
FR01002,Pear,8.66,217.11,0.42,0.48,0.66,0.11,1,0.4,0.02,0.17,3.99,Local
FR01003,Orange,8.23,83.78,0.31,0.4,0.65,0.42,1,0.14,0.22,0.13,9.82,Local
FR01004,Orange,6.6,171.25,0.61,0.97,0.57,0.42,1,0.39,0.52,0.27,3.85,Local
FR01005,Grapes,2.04,4.23,0.99,0.82,0.84,1.0,0,0.42,0.13,0.15,48.12,Export
FR01006,Pear,8.32,128.53,0.74,0.76,0.44,0.39,0,0.63,0.87,0.36,6.47,Local
FR01007,Grapes,1.98,6.66,0.55,0.18,0.8,0.08,1,0.15,0.06,0.11,29.72,Reject
FR01008,Pear,9.87,239.14,0.31,0.33,0.79,0.07,2,0.04,0.78,0.27,4.13,Reject
FR01009,Watermelon,27.65,5770.61,0.64,0.38,0.2,0.7,1,0.61,0.45,0.32,0.48,Reject
FR01010,Apple,9.9,169.05,0.44,0.49,0.45,0.29,1,0.07,0.61,0.19,5.85,Local
FR01011,Watermelon,24.44,5774.49,0.75,0.03,0.83,0.87,0,0.15,0.48,0.14,0.42,Reject
FR01012,Strawberry,4.11,18.56,0.71,0.59,0.83,0.48,3,0.98,0.43,0.53,22.15,Local
FR01013,Pomegranate,8.22,285.83,0.49,0.36,0.02,0.33,1,0.02,0.68,0.19,2.88,Reject
FR01014,Mango,12.1,279.93,0.35,0.56,0.22,0.76,1,0.64,0.23,0.29,4.32,Local
FR01015,Pear,7.46,231.61,0.83,0.01,0.42,0.42,0,0.14,0.49,0.14,3.22,Reject
FR01016,Strawberry,3.23,19.2,0.71,0.32,0.05,0.74,2,0.82,0.81,0.51,16.82,Reject
FR01017,Pomegranate,8.03,393.33,0.89,0.77,0.26,0.71,3,0.58,0.16,0.36,2.04,Local
FR01018,Peach,7.2,122.13,0.48,0.5,0.26,0.72,2,0.47,0.09,0.26,5.9,Local
FR01019,Apple,8.83,178.46,0.76,0.79,0.21,0.86,1,0.46,0.6,0.31,4.95,Local
FR01020,Grapes,1.95,5.63,0.38,0.7,0.4,0.85,1,0.67,0.96,0.44,34.72,Local
FR01021,Grapes,1.8,4.63,0.5,0.85,0.81,0.66,2,0.84,0.43,0.44,38.92,Local
FR01022,Watermelon,18.97,4007.04,0.76,0.01,0.24,0.96,2,0.01,0.81,0.27,0.47,Reject
FR01023,Orange,9.13,186.93,0.88,0.26,0.58,0.02,4,0.02,0.47,0.3,4.88,Reject
FR01024,Pomegranate,9.07,349.84,0.52,0.55,0.56,0.93,1,0.27,0.23,0.18,2.59,Local
FR01025,Peach,6.87,134.89,0.86,0.94,0.82,0.15,0,0.74,0.49,0.32,5.09,Local
FR01026,Strawberry,3.52,19.63,0.77,0.68,0.39,0.21,2,0.19,0.44,0.25,17.96,Local
FR01027,Apple,7.79,187.44,0.54,0.46,0.22,0.82,1,0.41,0.25,0.22,4.16,Local
FR01028,Pomegranate,9.16,309.92,0.91,0.13,0.89,0.4,2,0.51,0.35,0.32,2.96,Reject
FR01029,Peach,7.87,148.15,0.66,0.49,0.83,0.43,0,0.37,0.39,0.19,5.31,Local
FR01030,Mango,9.72,199.27,0.75,0.44,0.62,0.26,0,0.46,0.86,0.31,4.88,Local
FR01031,Pear,9.16,175.38,0.65,0.78,0.09,0.22,1,0.8,0.31,0.35,5.22,Local
FR01032,Grapes,2.02,4.99,0.62,0.41,0.02,0.11,0,0.23,0.93,0.25,40.52,Local
FR01033,Strawberry,4.59,16.01,0.89,0.32,0.18,0.2,1,0.33,0.01,0.15,28.64,Reject
FR01034,Grapes,1.52,5.25,0.51,0.09,0.2,0.57,1,0.53,0.13,0.23,29.0,Reject
FR01035,Strawberry,3.34,20.95,0.33,0.05,0.14,0.71,2,0.87,0.03,0.36,15.95,Reject
FR01036,Watermelon,26.75,5963.08,0.92,0.44,0.26,0.74,0,0.21,0.77,0.22,0.45,Local
FR01037,Orange,6.14,137.47,0.88,0.35,0.34,0.37,7,0.52,0.12,0.53,4.47,Reject
FR01038,Strawberry,3.68,22.31,0.56,0.56,0.75,0.92,2,0.88,0.57,0.48,16.49,Local
FR01039,Grapes,2.53,5.72,0.43,0.71,0.71,0.33,1,0.11,0.78,0.24,44.19,Local
